"MP","Rise.Time","Rise.Time.Hour"
2,580,9.66666666666667
3,605,10.0833333333333
4,600,10
4,560,9.33333333333333
4,565,9.41666666666667
4,600,10
3,635,10.5833333333333
2,650,10.8333333333333
3,600,10
4,625,10.4166666666667
4,655,10.9166666666667
2,620,10.3333333333333
3,615,10.25
2,645,10.75
3,660,11
2,690,11.5
3,585,9.75
2,615,10.25
3,600,10
4,630,10.5
3,630,10.5
2,565,9.41666666666667
3,650,10.8333333333333
2,685,11.4166666666667
3,605,10.0833333333333
2,120,2
2,530,8.83333333333333
4,555,9.25
3,600,10
3,575,9.58333333333333
3,490,8.16666666666667
3,620,10.3333333333333
3,590,9.83333333333333
3,225,3.75
3,575,9.58333333333333
2,565,9.41666666666667
3,535,8.91666666666667
4,485,8.08333333333333
3,630,10.5
3,570,9.5
4,540,9
4,545,9.08333333333333
4,525,8.75
4,535,8.91666666666667
2,510,8.5
3,570,9.5
4,495,8.25
3,540,9
3,585,9.75
3,540,9
4,525,8.75
3,565,9.41666666666667
2,515,8.58333333333333
3,535,8.91666666666667
2,555,9.25
3,580,9.66666666666667
3,575,9.58333333333333
4,595,9.91666666666667
3,655,10.9166666666667
2,585,9.75
3,635,10.5833333333333
2,630,10.5
4,480,8
4,545,9.08333333333333
4,490,8.16666666666667
3,645,10.75
3,580,9.66666666666667
4,605,10.0833333333333
4,615,10.25
3,540,9
4,580,9.66666666666667
3,640,10.6666666666667
2,535,8.91666666666667
3,600,10
3,575,9.58333333333333
2,575,9.58333333333333
2,550,9.16666666666667
4,575,9.58333333333333
3,545,9.08333333333333
2,580,9.66666666666667
4,570,9.5
4,565,9.41666666666667
4,605,10.0833333333333
3,700,11.6666666666667
3,605,10.0833333333333
2,600,10
4,580,9.66666666666667
4,635,10.5833333333333
3,620,10.3333333333333
3,580,9.66666666666667
3,580,9.66666666666667
3,565,9.41666666666667
2,545,9.08333333333333
3,415,6.91666666666667
4,610,10.1666666666667
3,525,8.75
2,515,8.58333333333333
4,515,8.58333333333333
3,535,8.91666666666667
3,550,9.16666666666667
2,560,9.33333333333333
2,640,10.6666666666667
2,595,9.91666666666667
2,535,8.91666666666667
3,595,9.91666666666667
4,595,9.91666666666667
2,610,10.1666666666667
4,565,9.41666666666667
4,545,9.08333333333333
3,535,8.91666666666667
3,570,9.5
3,585,9.75
2,595,9.91666666666667
4,555,9.25
2,550,9.16666666666667
2,540,9
2,555,9.25
2,550,9.16666666666667
3,565,9.41666666666667
3,630,10.5
4,580,9.66666666666667
2,515,8.58333333333333
3,580,9.66666666666667
3,620,10.3333333333333
2,605,10.0833333333333
3,515,8.58333333333333
3,565,9.41666666666667
4,570,9.5
2,575,9.58333333333333
3,625,10.4166666666667
2,615,10.25
3,685,11.4166666666667
3,605,10.0833333333333
2,655,10.9166666666667
4,600,10
4,630,10.5
2,460,7.66666666666667
2,465,7.75
4,575,9.58333333333333
4,570,9.5
4,560,9.33333333333333
3,510,8.5
4,490,8.16666666666667
3,500,8.33333333333333
3,525,8.75
4,510,8.5
3,520,8.66666666666667
2,610,10.1666666666667
3,160,2.66666666666667
4,590,9.83333333333333
4,500,8.33333333333333
4,540,9
3,595,9.91666666666667
2,540,9
3,500,8.33333333333333
3,550,9.16666666666667
2,500,8.33333333333333
3,575,9.58333333333333
3,595,9.91666666666667
2,555,9.25
2,545,9.08333333333333
2,580,9.66666666666667
2,605,10.0833333333333
2,590,9.83333333333333
3,605,10.0833333333333
4,555,9.25
3,635,10.5833333333333
4,570,9.5
2,570,9.5
4,595,9.91666666666667
3,610,10.1666666666667
3,550,9.16666666666667
2,570,9.5
2,660,11
2,630,10.5
3,570,9.5
3,625,10.4166666666667
3,570,9.5
3,570,9.5
4,640,10.6666666666667
3,610,10.1666666666667
3,620,10.3333333333333
3,580,9.66666666666667
4,610,10.1666666666667
3,595,9.91666666666667
3,610,10.1666666666667
3,550,9.16666666666667
2,595,9.91666666666667
4,575,9.58333333333333
2,555,9.25
3,640,10.6666666666667
3,580,9.66666666666667
4,515,8.58333333333333
4,595,9.91666666666667
3,610,10.1666666666667
3,570,9.5
3,570,9.5
4,590,9.83333333333333
3,550,9.16666666666667
4,600,10
3,590,9.83333333333333
4,590,9.83333333333333
2,570,9.5
3,605,10.0833333333333
3,585,9.75
4,565,9.41666666666667
4,550,9.16666666666667
3,650,10.8333333333333
3,670,11.1666666666667
4,575,9.58333333333333
4,595,9.91666666666667
3,590,9.83333333333333
4,580,9.66666666666667
3,640,10.6666666666667
2,645,10.75
3,590,9.83333333333333
3,545,9.08333333333333
3,685,11.4166666666667
4,525,8.75
3,585,9.75
2,610,10.1666666666667
3,610,10.1666666666667
2,675,11.25
2,605,10.0833333333333
2,650,10.8333333333333
3,665,11.0833333333333
3,630,10.5
3,650,10.8333333333333
4,600,10
4,650,10.8333333333333
3,640,10.6666666666667
4,645,10.75
4,620,10.3333333333333
3,590,9.83333333333333
3,565,9.41666666666667
2,585,9.75
3,670,11.1666666666667
3,675,11.25
3,620,10.3333333333333
3,695,11.5833333333333
4,610,10.1666666666667
4,600,10
3,620,10.3333333333333
4,560,9.33333333333333
2,540,9
2,560,9.33333333333333
2,580,9.66666666666667
3,675,11.25
4,630,10.5
3,575,9.58333333333333
4,615,10.25
3,565,9.41666666666667
4,545,9.08333333333333
3,565,9.41666666666667
4,590,9.83333333333333
3,585,9.75
3,620,10.3333333333333
2,605,10.0833333333333
3,555,9.25
2,265,4.41666666666667
4,650,10.8333333333333
4,595,9.91666666666667
3,600,10
4,595,9.91666666666667
2,585,9.75
