"Date","Alcohol","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Start.of.Night","End.of.Night","Rise.Time","Morning.Feel"
"2013-06-12","FALSE",78,431,35,16,136,238,57,7,1515,"06/13/2013 06:22","06/13/2013 06:20",3
"2013-06-13","FALSE",99,543,38,17,183,294,67,6,1475,"06/14/2013 07:46","06/14/2013 07:25",2
"2013-06-14","FALSE",96,546,71,30,176,308,63,9,1405,"06/15/2013 07:17","06/15/2013 07:05",1
"2013-06-15","FALSE",97,544,18,37,185,290,70,9,1405,"06/16/2013 06:32","06/16/2013 06:20",2
"2013-06-16","FALSE",106,573,48,15,192,302,79,7,1420,"06/17/2013 07:24","06/17/2013 07:15",3
"2013-06-17","FALSE",89,499,61,33,145,290,64,6,1415,"06/18/2013 06:40","06/18/2013 06:35",3
"2013-06-18","FALSE",93,539,51,42,146,323,70,10,1415,"06/19/2013 07:11","06/19/2013 07:15",1
"2013-06-19","FALSE",85,460,31,6,143,257,61,5,1470,"06/20/2013 05:50","06/20/2013 05:55",0
"2013-06-20","FALSE",83,479,14,33,128,283,68,11,1435,"06/21/2013 05:42","06/21/2013 05:45",3
"2013-06-21","TRUE",98,564,24,41,168,324,73,12,1425,"06/22/2013 07:19","06/22/2013 07:05",3
"2013-06-21","FALSE",98,564,24,41,168,324,73,12,1425,"06/22/2013 07:19","06/22/2013 07:05",3
"2013-06-22","FALSE",87,503,34,95,142,283,78,7,1425,"06/23/2013 07:44","06/23/2013 07:45",2
"2013-06-23","TRUE",90,510,28,22,176,273,62,11,1435,"06/24/2013 06:22","06/24/2013 06:15",3
"2013-06-23","FALSE",90,510,28,22,176,273,62,11,1435,"06/24/2013 06:22","06/24/2013 06:15",3
"2013-06-24","FALSE",91,511,27,17,163,296,52,5,1405,"06/25/2013 05:47","06/25/2013 05:40",2
"2013-06-25","FALSE",86,496,24,24,143,302,51,6,1415,"06/26/2013 05:46","06/26/2013 05:40",3
"2013-06-26","FALSE",88,515,19,44,164,295,56,9,1430,"06/27/2013 06:35","06/27/2013 06:20",3
"2013-06-27","FALSE",93,531,28,46,171,296,65,8,1405,"06/28/2013 06:44","06/28/2013 06:25",3
"2013-06-28","FALSE",91,519,29,32,151,298,70,10,1410,"06/29/2013 06:22","06/29/2013 05:45",2
"2013-06-29","FALSE",104,573,7,9,167,339,68,5,1415,"06/30/2013 06:27","06/30/2013 06:30",3
"2013-06-30","FALSE",89,494,27,18,145,283,66,7,1420,"07/01/2013 06:09","07/01/2013 05:45",3
"2013-07-01","FALSE",95,544,22,34,193,290,62,11,1420,"07/02/2013 06:47","07/02/2013 06:30",2
"2013-07-02","FALSE",96,530,18,28,187,277,67,8,1405,"07/03/2013 06:20","07/03/2013 06:00",2
"2013-07-03","FALSE",88,512,17,43,145,306,61,8,1425,"07/04/2013 06:21","07/04/2013 05:45",3
"2013-07-04","FALSE",99,567,19,23,191,313,64,11,1385,"07/05/2013 06:41","07/05/2013 06:20",2
"2013-07-05","FALSE",91,508,37,19,144,296,68,8,1395,"07/06/2013 05:52","07/06/2013 05:35",3
"2013-07-06","FALSE",88,492,17,34,151,272,69,8,1470,"07/07/2013 06:37","07/07/2013 06:05",2
"2013-07-07","FALSE",92,505,17,7,181,266,59,7,1430,"07/08/2013 05:40","07/08/2013 05:40",3
"2013-07-08","FALSE",89,513,8,9,152,317,45,5,1420,"07/09/2013 05:59","07/09/2013 05:25",3
"2013-07-09","FALSE",79,434,12,3,118,265,52,2,1430,"07/10/2013 04:22","07/10/2013 04:20",3
"2013-07-10","FALSE",62,350,1,15,155,166,30,6,1645,"07/11/2013 06:36","07/11/2013 06:40",0
"2013-07-11","FALSE",92,531,20,29,167,306,58,9,1400,"07/12/2013 06:11","07/12/2013 05:45",2
"2013-07-11","TRUE",92,531,20,29,167,306,58,9,1400,"07/12/2013 06:11","07/12/2013 05:45",2
"2013-07-12","FALSE",89,512,18,38,158,299,55,6,1400,"07/13/2013 05:56","07/13/2013 05:25",3
"2013-07-12","TRUE",89,512,18,38,158,299,55,6,1400,"07/13/2013 05:56","07/13/2013 05:25",3
"2013-07-13","FALSE",87,516,22,41,147,315,54,9,1410,"07/14/2013 06:09","07/14/2013 05:50",2
"2013-07-14","FALSE",96,539,22,22,161,315,63,7,1445,"07/15/2013 06:48","07/15/2013 06:50",2
"2013-07-15","FALSE",91,505,18,31,183,262,61,8,1465,"07/16/2013 06:44","07/16/2013 06:40",2
"2013-07-16","FALSE",100,556,28,18,186,304,66,9,1425,"07/17/2013 06:54","07/17/2013 06:45",2
"2013-07-17","TRUE",101,566,18,22,191,307,68,10,1450,"07/18/2013 07:17","07/18/2013 07:10",2
"2013-07-17","FALSE",101,566,18,22,191,307,68,10,1450,"07/18/2013 07:17","07/18/2013 07:10",2
"2013-07-18","FALSE",89,486,35,9,156,276,55,3,1435,"07/19/2013 06:12","07/19/2013 06:10",3
"2013-07-19","FALSE",85,474,10,20,139,277,58,4,1455,"07/20/2013 05:42","07/20/2013 05:40",3
"2013-07-20","FALSE",95,533,30,23,175,291,67,9,1405,"07/21/2013 06:20","07/21/2013 05:55",3
"2013-07-21","FALSE",96,539,20,15,154,320,65,6,1415,"07/22/2013 06:10","07/22/2013 06:10",2
"2013-07-22","FALSE",88,504,26,27,149,294,62,9,1405,"07/23/2013 05:48","07/23/2013 05:40",3
"2013-07-23","FALSE",92,529,21,23,172,303,55,9,1435,"07/24/2013 06:32","07/24/2013 06:35",2
"2013-07-24","FALSE",105,583,16,12,203,318,62,8,1420,"07/25/2013 06:52","07/25/2013 06:50",3
"2013-07-24","TRUE",105,583,16,12,203,318,62,8,1420,"07/25/2013 06:52","07/25/2013 06:50",3
"2013-07-25","FALSE",95,533,23,17,186,289,59,8,1455,"07/26/2013 06:55","07/26/2013 06:50",3
"2013-07-26","FALSE",78,447,13,19,129,265,53,7,1490,"07/27/2013 05:49","07/27/2013 05:50",2
"2013-07-27","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
