"ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Start.of.Night","Morning.Feel"
63,356,1,4,126,203,28,4,1545,3
64,360,12,29,143,186,32,3,1525,2
67,351,25,0,123,189,40,0,1515,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,500,18,2,144,294,62,2,1450,3
84,454,24,8,147,248,59,5,1485,2
103,552,7,5,157,318,77,4,1400,3
88,466,13,7,155,247,65,4,1395,2
94,519,12,10,155,305,59,4,1425,2
79,413,18,5,124,226,63,2,1430,2
91,499,35,11,157,281,61,5,1435,2
103,554,12,9,176,307,72,4,1420,2
106,563,14,4,196,300,67,3,1420,3
87,519,16,32,153,308,58,13,1430,3
99,529,17,4,145,309,76,3,1430,3
93,514,26,6,152,305,57,4,1435,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,515,17,4,160,277,79,2,1435,3
87,467,22,12,157,248,62,4,1460,3
86,463,13,25,156,236,71,7,1500,2
89,452,40,14,151,227,74,1,1420,2
104,553,7,1,180,309,65,1,1405,3
98,515,20,3,180,272,64,2,1430,3
89,497,31,22,183,269,45,4,1425,2
98,507,31,6,166,265,76,2,1415,3
91,477,44,7,143,257,78,4,1445,2
100,538,23,18,167,287,84,7,1440,3
89,479,31,11,172,247,61,5,1440,NA
67,365,15,8,104,207,55,5,1540,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,554,14,3,196,278,80,2,1485,4
97,546,7,4,106,375,65,3,1460,3
109,566,11,4,188,299,80,2,1430,3
100,547,10,6,163,319,65,5,1450,3
90,484,14,9,153,260,71,6,1450,2
118,614,15,3,225,307,82,4,1420,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,460,6,3,135,216,109,3,1545,4
105,544,21,5,178,281,86,5,1440,3
79,406,18,9,111,227,68,1,1430,2
94,462,7,1,150,224,89,1,1435,3
92,493,9,12,155,270,68,4,1430,3
88,496,8,3,136,312,48,3,1415,3
91,488,12,18,176,252,61,4,1455,3
92,486,6,6,177,247,62,4,1435,3
71,376,4,78,105,190,82,2,1460,3
107,550,1,3,197,279,75,1,1440,4
112,618,5,22,197,345,77,8,1430,3
95,512,19,4,152,300,61,1,1425,4
102,531,5,5,176,276,79,4,1435,3
99,525,7,8,181,274,71,4,1455,3
101,528,8,3,186,273,69,2,1420,3
96,518,8,5,135,311,72,3,1430,3
92,490,14,12,169,257,65,4,1475,3
73,369,15,0,106,199,65,0,1435,2
114,612,8,7,227,319,67,4,1460,3
94,506,16,2,154,296,56,1,1450,2
104,562,10,1,174,327,62,1,1425,3
92,534,6,11,149,335,50,7,1465,3
102,559,8,11,185,313,61,4,1480,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,580,24,24,177,334,69,7,1440,3
72,432,29,40,110,276,47,7,1440,1
105,566,17,6,199,304,63,4,1455,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,583,15,3,211,289,84,3,1485,3
89,497,18,11,165,278,54,6,1520,2
102,574,13,15,163,352,59,5,1500,4
101,548,20,8,178,304,66,5,1485,4
80,454,13,17,120,280,55,5,1480,2
73,431,19,115,155,216,61,6,1475,2
91,505,16,7,155,293,57,5,1465,3
89,478,13,25,147,260,71,5,1475,3
99,539,12,5,163,311,66,4,1495,3
