"Date","LLLT.random","MP","Nicotine","Magnesium.random"
2014-12-15,FALSE,3,FALSE,TRUE
2014-12-16,TRUE,4,FALSE,TRUE
2014-12-17,NA,3,FALSE,TRUE
2014-12-18,FALSE,3,FALSE,TRUE
2014-12-19,TRUE,4,FALSE,TRUE
2014-12-20,TRUE,3,FALSE,TRUE
2014-12-21,NA,2,TRUE,TRUE
2014-12-22,NA,4,FALSE,TRUE
2014-12-23,NA,2,FALSE,TRUE
2014-12-24,NA,3,FALSE,TRUE
2014-12-25,NA,3,FALSE,TRUE
2014-12-26,NA,3,FALSE,TRUE
2014-12-27,FALSE,4,FALSE,TRUE
2014-12-28,TRUE,3,FALSE,TRUE
2014-12-29,FALSE,4,FALSE,TRUE
2014-12-30,TRUE,4,TRUE,TRUE
2014-12-31,NA,3,FALSE,TRUE
2015-01-01,FALSE,4,FALSE,TRUE
2015-01-02,NA,4,FALSE,TRUE
2015-01-03,TRUE,3,FALSE,TRUE
2015-01-04,NA,3,FALSE,TRUE
2015-01-05,TRUE,3,FALSE,TRUE
2015-01-06,TRUE,4,FALSE,TRUE
2015-01-07,TRUE,4,FALSE,TRUE
2015-01-08,TRUE,4,FALSE,TRUE
2015-01-09,FALSE,4,FALSE,TRUE
2015-01-10,FALSE,4,FALSE,TRUE
2015-01-11,TRUE,3,FALSE,TRUE
2015-01-12,TRUE,3,FALSE,FALSE
2015-01-13,FALSE,3,FALSE,FALSE
2015-01-14,FALSE,4,FALSE,FALSE
2015-01-15,TRUE,3,FALSE,FALSE
2015-01-16,FALSE,3,FALSE,FALSE
2015-01-17,FALSE,3,FALSE,FALSE
2015-01-18,NA,4,FALSE,FALSE
2015-01-19,FALSE,3,FALSE,FALSE
2015-01-20,TRUE,3,FALSE,FALSE
2015-01-21,NA,3,FALSE,FALSE
2015-01-22,NA,3,FALSE,FALSE
2015-01-23,NA,3,FALSE,FALSE
2015-01-24,FALSE,3,FALSE,FALSE
2015-01-25,FALSE,3,FALSE,FALSE
2015-01-26,TRUE,4,FALSE,FALSE
2015-01-27,NA,3,FALSE,FALSE
2015-01-28,TRUE,4,FALSE,FALSE
2015-01-29,NA,4,FALSE,FALSE
2015-01-30,NA,4,FALSE,FALSE
2015-01-31,NA,3,FALSE,FALSE
2015-02-01,NA,4,FALSE,FALSE
2015-02-02,TRUE,3,FALSE,FALSE
2015-02-03,FALSE,2,FALSE,FALSE
2015-02-04,NA,4,FALSE,FALSE
2015-02-05,NA,4,FALSE,FALSE
2015-02-06,NA,4,FALSE,FALSE
2015-02-07,NA,3,FALSE,FALSE
2015-02-08,NA,4,FALSE,FALSE
2015-02-09,NA,3,FALSE,FALSE
2015-02-10,NA,3,FALSE,FALSE
2015-02-11,NA,4,FALSE,FALSE
2015-02-12,NA,3,FALSE,FALSE
2015-02-13,FALSE,3,FALSE,FALSE
2015-02-14,FALSE,3,FALSE,FALSE
2015-02-15,NA,4,FALSE,FALSE
2015-02-16,FALSE,4,FALSE,FALSE
2015-02-17,TRUE,3,FALSE,FALSE
2015-02-18,FALSE,4,TRUE,FALSE
2015-02-19,FALSE,4,FALSE,TRUE
2015-02-20,FALSE,4,FALSE,TRUE
2015-02-21,TRUE,3,TRUE,TRUE
2015-02-22,TRUE,3,FALSE,TRUE
2015-02-23,FALSE,3,TRUE,TRUE
2015-02-24,FALSE,4,FALSE,TRUE
2015-02-25,TRUE,4,TRUE,TRUE
2015-02-26,NA,4,FALSE,TRUE
2015-02-27,TRUE,4,FALSE,TRUE
2015-02-28,NA,4,FALSE,TRUE
2015-03-01,FALSE,3,FALSE,TRUE
2015-03-02,FALSE,4,FALSE,TRUE
2015-03-03,FALSE,4,FALSE,TRUE
